model,test_days,pred,acc,test_n,test_pos_n,train_n,test_start,test_end,train_years,feature_set,horizon
xgboost-6,1,0.85,1.0,1,1,1470,2025-12-29,2025-12-29,6,initial,5
xgboost-6,1,0.45,1.0,1,0,1470,2025-12-26,2025-12-26,6,initial,5
xgboost-6,1,0.8,0.0,1,0,1470,2025-12-24,2025-12-24,6,initial,5
xgboost-6,1,0.5,0.0,1,0,1470,2025-12-23,2025-12-23,6,initial,5
xgboost-6,1,0.7,1.0,1,1,1470,2025-12-22,2025-12-22,6,initial,5
xgboost-6,1,0.05,0.0,1,1,1470,2025-12-19,2025-12-19,6,initial,5
xgboost-6,1,0.0,0.0,1,1,1470,2025-12-18,2025-12-18,6,initial,5
xgboost-6,1,0.05,0.0,1,1,1470,2025-12-17,2025-12-17,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-12-16,2025-12-16,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-12-15,2025-12-15,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-12-12,2025-12-12,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-12-11,2025-12-11,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-12-10,2025-12-10,6,initial,5
xgboost-6,1,0.95,0.0,1,0,1470,2025-12-09,2025-12-09,6,initial,5
xgboost-6,1,0.85,0.0,1,0,1470,2025-12-08,2025-12-08,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-12-05,2025-12-05,6,initial,5
xgboost-6,1,0.9,1.0,1,1,1470,2025-12-04,2025-12-04,6,initial,5
xgboost-6,1,0.7,1.0,1,1,1470,2025-12-03,2025-12-03,6,initial,5
xgboost-6,1,0.5,1.0,1,1,1470,2025-12-02,2025-12-02,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-12-01,2025-12-01,6,initial,5
xgboost-6,1,0.1,0.0,1,1,1470,2025-11-28,2025-11-28,6,initial,5
xgboost-6,1,0.7,1.0,1,1,1470,2025-11-26,2025-11-26,6,initial,5
xgboost-6,1,0.05,0.0,1,1,1470,2025-11-25,2025-11-25,6,initial,5
xgboost-6,1,0.8,1.0,1,1,1470,2025-11-24,2025-11-24,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-11-21,2025-11-21,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-11-20,2025-11-20,6,initial,5
xgboost-6,1,0.05,0.0,1,1,1470,2025-11-19,2025-11-19,6,initial,5
xgboost-6,1,0.7,1.0,1,1,1470,2025-11-18,2025-11-18,6,initial,5
xgboost-6,1,0.0,0.0,1,1,1470,2025-11-17,2025-11-17,6,initial,5
xgboost-6,1,0.1,1.0,1,0,1470,2025-11-14,2025-11-14,6,initial,5
xgboost-6,1,0.5,0.0,1,0,1470,2025-11-13,2025-11-13,6,initial,5
xgboost-6,1,0.95,0.0,1,0,1470,2025-11-12,2025-11-12,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-11-11,2025-11-11,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-11-10,2025-11-10,6,initial,5
xgboost-6,1,0.95,0.0,1,0,1470,2025-11-07,2025-11-07,6,initial,5
xgboost-6,1,0.5,1.0,1,0,1470,2025-11-06,2025-11-06,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-11-05,2025-11-05,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-11-04,2025-11-04,6,initial,5
xgboost-6,1,0.6,0.0,1,0,1470,2025-11-03,2025-11-03,6,initial,5
xgboost-6,1,0.9,0.0,1,0,1470,2025-10-31,2025-10-31,6,initial,5
xgboost-6,1,0.9,0.0,1,0,1470,2025-10-30,2025-10-30,6,initial,5
xgboost-6,1,0.05,1.0,1,0,1470,2025-10-29,2025-10-29,6,initial,5
xgboost-6,1,0.05,1.0,1,0,1470,2025-10-28,2025-10-28,6,initial,5
xgboost-6,1,0.1,0.0,1,1,1470,2025-10-27,2025-10-27,6,initial,5
xgboost-6,1,0.0,0.0,1,1,1470,2025-10-24,2025-10-24,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-10-23,2025-10-23,6,initial,5
xgboost-6,1,0.85,1.0,1,1,1470,2025-10-22,2025-10-22,6,initial,5
xgboost-6,1,0.9,1.0,1,1,1470,2025-10-21,2025-10-21,6,initial,5
xgboost-6,1,0.8,1.0,1,1,1470,2025-10-20,2025-10-20,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-17,2025-10-17,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-16,2025-10-16,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-15,2025-10-15,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-14,2025-10-14,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-13,2025-10-13,6,initial,5
xgboost-6,1,1.0,1.0,1,1,1470,2025-10-10,2025-10-10,6,initial,5
xgboost-6,1,0.95,0.0,1,0,1470,2025-10-09,2025-10-09,6,initial,5
xgboost-6,1,0.05,1.0,1,0,1470,2025-10-08,2025-10-08,6,initial,5
xgboost-6,1,0.85,0.0,1,0,1470,2025-10-07,2025-10-07,6,initial,5
xgboost-6,1,0.65,0.0,1,0,1470,2025-10-06,2025-10-06,6,initial,5
xgboost-6,1,1.0,0.0,1,0,1470,2025-10-03,2025-10-03,6,initial,5
xgboost-6,1,0.75,1.0,1,1,1470,2025-10-02,2025-10-02,6,initial,5
xgboost-6,1,0.25,0.0,1,1,1470,2025-10-01,2025-10-01,6,initial,5
xgboost-6,1,0.95,1.0,1,1,1470,2025-09-30,2025-09-30,6,initial,5
xgboost-6,1,0.25,0.0,1,1,1470,2025-09-29,2025-09-29,6,initial,5
xgboost-6,1,0.45,0.0,1,1,1470,2025-09-26,2025-09-26,6,initial,5
xgboost-6,1,0.55,1.0,1,1,1470,2025-09-25,2025-09-25,6,initial,5
