run,model,test_days,pred,acc,test_n,test_pos_n,test_neg_n,test_pos_frac,test_neg_frac,train_n,train_start,train_end,test_start,test_end,train_years,n_features,pi_size,min_feats,feature_set,horizon
14,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,8,0.67,8,baseline,2
14,xgboost-2,1,0.65,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,12,0.67,12,baseline,2
14,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,6,1.0,6,baseline,2
14,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,8,1.0,8,baseline,2
14,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-09,2025-12-23,2025-12-29,2025-12-29,5,12,1.0,12,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,6,0.33,6,baseline,2
15,xgboost-2,1,0.95,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,8,0.33,8,baseline,2
15,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,12,0.33,12,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,6,0.67,6,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,8,0.67,8,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,12,0.67,12,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,6,1.0,6,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,8,1.0,8,baseline,2
15,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-08,2025-12-22,2025-12-26,2025-12-26,5,12,1.0,12,baseline,2
16,xgboost-2,1,0.9,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,6,0.33,6,baseline,2
16,xgboost-2,1,0.15,1.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,8,0.33,8,baseline,2
16,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,12,0.33,12,baseline,2
16,xgboost-2,1,0.8,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,6,0.67,6,baseline,2
16,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,8,0.67,8,baseline,2
16,xgboost-2,1,0.2,1.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,12,0.67,12,baseline,2
16,xgboost-2,1,0.8,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,6,1.0,6,baseline,2
16,xgboost-2,1,0.85,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,8,1.0,8,baseline,2
16,xgboost-2,1,1.0,0.0,1,0,1,0.0,1.0,1225,2021-02-05,2025-12-19,2025-12-24,2025-12-24,5,12,1.0,12,baseline,2
17,xgboost-2,1,0.9,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,6,0.33,6,baseline,2
17,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,8,0.33,8,baseline,2
17,xgboost-2,1,0.85,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,12,0.33,12,baseline,2
17,xgboost-2,1,0.9,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,6,0.67,6,baseline,2
17,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,8,0.67,8,baseline,2
17,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,12,0.67,12,baseline,2
17,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,6,1.0,6,baseline,2
17,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,8,1.0,8,baseline,2
17,xgboost-2,1,0.7,1.0,1,1,0,1.0,0.0,1225,2021-02-04,2025-12-18,2025-12-23,2025-12-23,5,12,1.0,12,baseline,2
18,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,6,0.33,6,baseline,2
18,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,8,0.33,8,baseline,2
18,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,12,0.33,12,baseline,2
18,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,6,0.67,6,baseline,2
18,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,8,0.67,8,baseline,2
18,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,12,0.67,12,baseline,2
18,xgboost-2,1,0.95,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,6,1.0,6,baseline,2
18,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,8,1.0,8,baseline,2
18,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-03,2025-12-17,2025-12-22,2025-12-22,5,12,1.0,12,baseline,2
19,xgboost-2,1,0.55,1.0,1,1,0,1.0,0.0,1225,2021-02-02,2025-12-16,2025-12-19,2025-12-19,5,6,0.33,6,baseline,2
19,xgboost-2,1,0.8,1.0,1,1,0,1.0,0.0,1225,2021-02-02,2025-12-16,2025-12-19,2025-12-19,5,8,0.33,8,baseline,2
19,xgboost-2,1,1.0,1.0,1,1,0,1.0,0.0,1225,2021-02-02,2025-12-16,2025-12-19,2025-12-19,5,12,0.33,12,baseline,2
19,xgboost-2,1,0.65,1.0,1,1,0,1.0,0.0,1225,2021-02-02,2025-12-16,2025-12-19,2025-12-19,5,6,0.67,6,baseline,2
19,xgboost-2,1,0.6,1.0,1,1,0,1.0,0.0,1225,2021-02-02,2025-12-16,2025-12-19,2025-12-19,5,8,0.67,8,baseline,2
